Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.22580645161290322,0.2903225806451613,0.2903225806451613,0.2903225806451613,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
1,0.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
2,0.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
3,0.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
4,1.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
5,1.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
6,0.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
7,0.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
8,0.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
9,0.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
10,1.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
11,0.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
12,0.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
13,0.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
14,1.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
15,0.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
16,1.0,1.0,1.0,1.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
17,0.0,1.0,1.0,1.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
18,0.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
19,1.0,1.0,1.0,1.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
20,0.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
21,1.0,1.0,1.0,1.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
22,0.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
23,0.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
24,0.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
25,0.0,1.0,1.0,1.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
26,0.0,1.0,1.0,1.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
27,0.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
28,0.0,1.0,1.0,1.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
29,0.0,0.0,0.0,0.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
30,0.0,1.0,1.0,1.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
31,0.0,1.0,1.0,1.0,20250421_013248,CNN0,Características temporales y espectrales,LOOCV,128,30,0.001,adam
