Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.9032258064516129,0.41935483870967744,0.41935483870967744,0.41935483870967744,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
1,1.0,0.0,0.0,0.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
2,1.0,0.0,0.0,0.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
3,1.0,0.0,0.0,0.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
4,1.0,0.0,0.0,0.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
5,1.0,0.0,0.0,0.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
6,1.0,0.0,0.0,0.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
7,1.0,0.0,0.0,0.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
8,1.0,0.0,0.0,0.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
9,1.0,0.0,0.0,0.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
10,1.0,0.0,0.0,0.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
11,1.0,0.0,0.0,0.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
12,1.0,0.0,0.0,0.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
13,1.0,0.0,0.0,0.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
14,1.0,0.0,0.0,0.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
15,1.0,0.0,0.0,0.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
16,0.0,0.0,0.0,0.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
17,1.0,1.0,1.0,1.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
18,0.0,0.0,0.0,0.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
19,1.0,1.0,1.0,1.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
20,1.0,1.0,1.0,1.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
21,1.0,1.0,1.0,1.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
22,1.0,1.0,1.0,1.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
23,1.0,1.0,1.0,1.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
24,1.0,1.0,1.0,1.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
25,1.0,1.0,1.0,1.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
26,1.0,1.0,1.0,1.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
27,0.0,0.0,0.0,0.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
28,1.0,1.0,1.0,1.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
29,1.0,1.0,1.0,1.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
30,1.0,1.0,1.0,1.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
31,1.0,1.0,1.0,1.0,20250428_131452,CNN0,CSP,LOOCV,32,60,0.001,adam
