Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.41935483870967744,0.4838709677419355,0.4838709677419355,0.4838709677419355,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
1,0.0,0.0,0.0,0.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
2,0.0,0.0,0.0,0.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
3,0.0,0.0,0.0,0.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
4,0.0,0.0,0.0,0.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
5,0.0,0.0,0.0,0.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
6,0.0,0.0,0.0,0.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
7,0.0,0.0,0.0,0.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
8,0.0,0.0,0.0,0.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
9,0.0,0.0,0.0,0.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
10,1.0,0.0,0.0,0.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
11,0.0,0.0,0.0,0.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
12,0.0,0.0,0.0,0.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
13,1.0,0.0,0.0,0.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
14,0.0,0.0,0.0,0.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
15,0.0,0.0,0.0,0.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
16,1.0,1.0,1.0,1.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
17,1.0,1.0,1.0,1.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
18,1.0,1.0,1.0,1.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
19,0.0,1.0,1.0,1.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
20,0.0,1.0,1.0,1.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
21,1.0,1.0,1.0,1.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
22,1.0,1.0,1.0,1.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
23,1.0,1.0,1.0,1.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
24,1.0,1.0,1.0,1.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
25,1.0,1.0,1.0,1.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
26,1.0,1.0,1.0,1.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
27,1.0,1.0,1.0,1.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
28,0.0,0.0,0.0,0.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
29,0.0,1.0,1.0,1.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
30,0.0,1.0,1.0,1.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
31,1.0,1.0,1.0,1.0,20250425_032631,CNN0,Potencias relativas,LOOCV,32,60,0.001,adam
