Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.5161290322580645,0.3225806451612903,0.3225806451612903,0.3225806451612903,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
1,0.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
2,1.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
3,0.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
4,0.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
5,1.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
6,0.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
7,1.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
8,1.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
9,0.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
10,1.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
11,0.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
12,0.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
13,0.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
14,1.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
15,1.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
16,0.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
17,1.0,1.0,1.0,1.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
18,0.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
19,1.0,1.0,1.0,1.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
20,0.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
21,1.0,1.0,1.0,1.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
22,0.0,1.0,1.0,1.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
23,1.0,1.0,1.0,1.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
24,1.0,1.0,1.0,1.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
25,1.0,1.0,1.0,1.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
26,1.0,1.0,1.0,1.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
27,0.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
28,0.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
29,1.0,1.0,1.0,1.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
30,0.0,0.0,0.0,0.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
31,1.0,1.0,1.0,1.0,20250428_135247,DNN,Características espectrales avanzadas,LOOCV,32,60,0.001,adam
