Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.9146017789840698,0.9195575923763504,0.9225563909774436,0.9208726538653622,20250424_191500,CNN0,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
1,0.9115044474601746,0.9464285714285714,0.9298245614035088,0.9380530973451328,20250424_191500,CNN0,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
2,0.9115044474601746,0.912280701754386,0.912280701754386,0.912280701754386,20250424_191500,CNN0,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
3,0.9017857313156128,0.896551724137931,0.9285714285714286,0.912280701754386,20250424_191500,CNN0,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
4,0.9107142686843872,0.9272727272727272,0.8947368421052632,0.9107142857142856,20250424_191500,CNN0,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
5,0.9375,0.9152542372881356,0.9473684210526316,0.9310344827586208,20250424_191500,CNN0,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
0,0.9074115037918092,0.9043868338302956,0.9155388471177944,0.9088374633351072,20250424_200018,CNN0,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
1,0.9292035102844238,0.918032786885246,0.9824561403508772,0.9491525423728814,20250424_200018,CNN0,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
2,0.9203540086746216,0.913793103448276,0.9298245614035088,0.9217391304347826,20250424_200018,CNN0,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
3,0.875,0.8387096774193549,0.9285714285714286,0.8813559322033898,20250424_200018,CNN0,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
4,0.8928571343421936,0.9090909090909092,0.8771929824561403,0.8928571428571429,20250424_200018,CNN0,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
5,0.9196428656578064,0.9423076923076924,0.8596491228070176,0.8990825688073395,20250424_200018,CNN0,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
0,0.5641434907913208,0.5398558552231119,0.9649122807017544,0.6900206729729976,20250424_200530,VGG13+BiGRU+Att,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
1,0.5221238732337952,0.504424778761062,1.0,0.6705882352941176,20250424_200530,VGG13+BiGRU+Att,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
2,0.5575221180915833,0.5333333333333333,0.9824561403508772,0.691358024691358,20250424_200530,VGG13+BiGRU+Att,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
3,0.6071428656578064,0.56,1.0,0.717948717948718,20250424_200530,VGG13+BiGRU+Att,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
4,0.5089285969734192,0.5089285714285714,1.0,0.6745562130177515,20250424_200530,VGG13+BiGRU+Att,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
5,0.625,0.5925925925925926,0.8421052631578947,0.6956521739130435,20250424_200530,VGG13+BiGRU+Att,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
0,0.6493204712867737,0.6643457223756508,0.6763784461152882,0.6659754799410442,20250424_192143,RNN1,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
1,0.7876105904579163,0.7924528301886793,0.7368421052631579,0.7636363636363637,20250424_192143,RNN1,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
2,0.5929203629493713,0.603448275862069,0.6140350877192983,0.6086956521739131,20250424_192143,RNN1,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
3,0.6071428656578064,0.5512820512820513,0.7678571428571429,0.6417910447761194,20250424_192143,RNN1,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
4,0.6428571343421936,0.72,0.631578947368421,0.6728971962616822,20250424_192143,RNN1,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
5,0.6160714030265808,0.6545454545454545,0.631578947368421,0.6428571428571429,20250424_192143,RNN1,Z-Score (con filtro notch) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
0,0.6672882437705994,0.6979352106979063,0.6973684210526316,0.6950158317342352,20250424_200319,RNN1,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
1,0.6283186078071594,0.6515151515151515,0.7543859649122807,0.6991869918699187,20250424_200319,RNN1,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
2,0.6902654767036438,0.6792452830188679,0.631578947368421,0.6545454545454545,20250424_200319,RNN1,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
3,0.6964285969734192,0.7636363636363637,0.75,0.7567567567567568,20250424_200319,RNN1,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
4,0.6785714030265808,0.723404255319149,0.5964912280701754,0.6538461538461539,20250424_200319,RNN1,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
5,0.6428571343421936,0.671875,0.7543859649122807,0.7107438016528925,20250424_200319,RNN1,Z-score + Filtro Notch + ICA - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
0,0.3548387096774194,0.3225806451612903,0.3225806451612903,0.3225806451612903,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
1,0.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
2,0.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
3,0.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
4,0.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
5,0.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
6,1.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
7,0.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
8,1.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
9,1.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
10,0.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
11,0.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
12,1.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
13,0.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
14,1.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
15,1.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
16,1.0,1.0,1.0,1.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
17,0.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
18,0.0,1.0,1.0,1.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
19,0.0,1.0,1.0,1.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
20,0.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
21,1.0,1.0,1.0,1.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
22,0.0,1.0,1.0,1.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
23,0.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
24,0.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
25,0.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
26,1.0,1.0,1.0,1.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
27,0.0,1.0,1.0,1.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
28,0.0,0.0,0.0,0.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
29,1.0,1.0,1.0,1.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
30,1.0,1.0,1.0,1.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
31,0.0,1.0,1.0,1.0,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
0,0.6129032258064516,0.4193548387096774,0.4193548387096774,0.4193548387096774,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
1,0.0,0.0,0.0,0.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
2,1.0,0.0,0.0,0.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
3,1.0,0.0,0.0,0.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
4,0.0,0.0,0.0,0.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
5,0.0,0.0,0.0,0.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
6,1.0,0.0,0.0,0.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
7,1.0,0.0,0.0,0.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
8,1.0,0.0,0.0,0.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
9,0.0,0.0,0.0,0.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
10,1.0,0.0,0.0,0.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
11,0.0,0.0,0.0,0.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
12,1.0,0.0,0.0,0.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
13,1.0,0.0,0.0,0.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
14,1.0,0.0,0.0,0.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
15,0.0,0.0,0.0,0.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
16,0.0,1.0,1.0,1.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
17,1.0,1.0,1.0,1.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
18,1.0,1.0,1.0,1.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
19,0.0,1.0,1.0,1.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
20,1.0,1.0,1.0,1.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
21,1.0,1.0,1.0,1.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
22,1.0,1.0,1.0,1.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
23,0.0,0.0,0.0,0.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
24,1.0,1.0,1.0,1.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
25,1.0,1.0,1.0,1.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
26,1.0,1.0,1.0,1.0,20250423_202301,DNN,Extracción de vectores de potencia (señal filtrada con notch),LOOCV,32,60,0.001,adam
