Fold,Accuracy,Precision,Recall,F1-Score,Timestamp,Modelo,Tipo_preprocesamiento,Metodo_validacion,batch_size,epochs,lr,opt
0,0.5806451612903226,0.4193548387096774,0.4193548387096774,0.4193548387096774,20250421_035457,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
0,0.3548387096774194,0.3225806451612903,0.3225806451612903,0.3225806451612903,20250422_164552,DNN,Extracción de vectores de potencia,LOOCV,32,60,0.001,adam
0,0.6158967792987824,0.6,0.0491228070175438,0.0895673865500273,20250421_062351,BI-LSTM,MinMax Scaler (sin filtro) - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
0,0.5498577713966369,0.5336315811075334,0.8486842105263157,0.6478918404138552,20250421_072403,BI-LSTM,z-Score + filtro notch 60 Hz - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
0,0.6796618342399597,0.6742937495538796,0.6862781954887218,0.6787018086444839,20250421_065355,RNN1,z-Score + filtro notch 60 Hz - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
0,0.7610564585115485,0.8124955245255997,0.5865914786967419,0.6088774419821794,20250421_051818,CNN0,MinMax Scaler (sin filtro) - Ventanas de 20 segundos,Nested_CV,128,30,0.001,adam
0,0.9021491885185242,0.8845355191256831,0.9436090225563908,0.9130812690134724,20250421_063959,CNN0,z-Score + filtro notch 60 Hz - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
0,0.6031763553619385,0.6092133854845719,0.6201754385964912,0.6111554298678051,20250421_074537,CNN2,z-Score + filtro notch 60 Hz - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
0,0.6598925352096557,0.6702882758846579,0.8171052631578947,0.7332110086550274,20250421_064829,CNN1,z-Score + filtro notch 60 Hz - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
0,0.6515486717224122,0.6758754364625504,0.7325814536340852,0.6924744964032623,20250421_072623,VGG13+BiGRU+Att,z-Score + filtro notch 60 Hz - Ventanas de 20 segundos,K-fold_CV,128,30,0.001,adam
