Modelo,Accuracy,AUC,Precision,Recall,F1-Score,CV Mean Accuracy,CV Std Dev,Preprocesamiento
SVM (Lineal),0.5714285714285714,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.5700000000000001,0.1777638883463118,Banda γ
SVM (RBF),0.5714285714285714,0.625,0.5714285714285714,1.0,0.7272727272727273,0.32,0.16,Banda γ
Random Forest,0.5714285714285714,0.6666666666666667,0.6,0.75,0.6666666666666666,0.38,0.0979795897113271,Banda γ
Regresión Logística,0.5714285714285714,0.5833333333333334,0.6,0.75,0.6666666666666666,0.48,0.2712931993250107,Banda γ
KNN,0.7142857142857143,0.5833333333333334,0.6666666666666666,1.0,0.8,0.44,0.2939387691339813,Banda γ
SVM (Lineal),0.8571428571428571,0.8333333333333334,0.8,1.0,0.8888888888888888,0.71,0.0916515138991168,Banda γ
SVM (RBF),0.4285714285714285,0.625,0.0,0.0,0.0,0.47,0.1399999999999999,Banda γ
Random Forest,0.4285714285714285,0.7500000000000001,0.5,0.25,0.3333333333333333,0.7100000000000001,0.0916515138991168,Banda γ
Regresión Logística,0.8571428571428571,0.8333333333333334,0.8,1.0,0.8888888888888888,0.55,0.1341640786499873,Banda γ
KNN,0.5714285714285714,0.625,0.6666666666666666,0.5,0.5714285714285714,0.63,0.1399999999999999,Banda γ
SVM (Lineal),0.5714285714285714,0.8333333333333334,0.6,0.75,0.6666666666666666,0.45,0.1843908891458577,Bandas α–β
SVM (RBF),0.7142857142857143,0.625,0.75,0.75,0.75,0.42,0.0399999999999999,Bandas α–β
Random Forest,0.5714285714285714,0.5,0.6666666666666666,0.5,0.5714285714285714,0.51,0.142828568570857,Bandas α–β
Regresión Logística,0.7142857142857143,0.75,0.75,0.75,0.75,0.5,0.1549193338482966,Bandas α–β
KNN,0.8571428571428571,0.7916666666666667,0.8,1.0,0.8888888888888888,0.5900000000000001,0.1685229954635271,Bandas α–β
SVM (Lineal),0.7142857142857143,0.75,0.75,0.75,0.75,0.55,0.1341640786499873,Bandas α–β–γ
SVM (RBF),0.7142857142857143,0.625,0.75,0.75,0.75,0.37,0.06,Bandas α–β–γ
Random Forest,0.5714285714285714,0.6666666666666667,0.6666666666666666,0.5,0.5714285714285714,0.58,0.0399999999999999,Bandas α–β–γ
Regresión Logística,0.7142857142857143,0.75,0.75,0.75,0.75,0.59,0.1113552872566004,Bandas α–β–γ
KNN,0.5714285714285714,0.7083333333333333,0.6,0.75,0.6666666666666666,0.55,0.1341640786499873,Bandas α–β–γ
SVM (Lineal),0.4285714285714285,0.75,0.5,0.75,0.6,0.42,0.0399999999999999,Temp/Esp
SVM (RBF),0.4285714285714285,0.75,0.5,0.75,0.6,0.42,0.0399999999999999,Temp/Esp
Random Forest,0.7142857142857143,0.6666666666666667,0.75,0.75,0.75,0.52,0.2712931993250107,Temp/Esp
Regresión Logística,0.4285714285714285,0.75,0.5,0.75,0.6,0.42,0.0399999999999999,Temp/Esp
KNN,0.7142857142857143,0.9166666666666666,0.6666666666666666,1.0,0.8,0.3,0.1264911064067351,Temp/Esp
SVM (Lineal),1.0,1.0,1.0,1.0,1.0,1.0,0.0,CSP
SVM (RBF),0.7142857142857143,1.0,1.0,0.5,0.6666666666666666,0.92,0.0979795897113271,CSP
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CSP
Regresión Logística,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CSP
KNN,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CSP
SVM (Lineal),0.5714285714285714,0.4166666666666666,0.6666666666666666,0.5,0.5714285714285714,0.4599999999999999,0.1959591794226542,Pot_relativa
SVM (RBF),0.4285714285714285,0.5,0.5,0.5,0.5,0.38,0.0979795897113271,Pot_relativa
Random Forest,0.4285714285714285,0.5,0.5,0.25,0.3333333333333333,0.4599999999999999,0.265329983228432,Pot_relativa
Regresión Logística,0.4285714285714285,0.3333333333333333,0.5,0.5,0.5,0.42,0.1326649916142159,Pot_relativa
KNN,0.4285714285714285,0.5833333333333334,0.5,0.25,0.3333333333333333,0.5,0.1549193338482966,Pot_relativa
SVM (Lineal),0.5714285714285714,0.75,0.6,0.75,0.6666666666666666,0.55,0.1341640786499873,"Características espectrales avanzadas (slope, median freq, entropy, flatness)"
SVM (RBF),0.1428571428571428,0.2083333333333333,0.0,0.0,0.0,0.42,0.0399999999999999,"Características espectrales avanzadas (slope, median freq, entropy, flatness)"
Random Forest,0.5714285714285714,0.5833333333333334,0.6666666666666666,0.5,0.5714285714285714,0.63,0.1399999999999999,"Características espectrales avanzadas (slope, median freq, entropy, flatness)"
Regresión Logística,0.5714285714285714,0.5833333333333334,0.6,0.75,0.6666666666666666,0.54,0.265329983228432,"Características espectrales avanzadas (slope, median freq, entropy, flatness)"
KNN,0.2857142857142857,0.2916666666666666,0.3333333333333333,0.25,0.2857142857142857,0.5399999999999999,0.1496662954709576,"Características espectrales avanzadas (slope, median freq, entropy, flatness)"
SVM (Lineal),0.9827586206896552,0.990487514863258,1.0,0.9655172413793104,0.9824561403508772,0.9872340425531916,0.0170212765957446,PSD por banda y canal
SVM (RBF),0.7068965517241379,0.976218787158145,1.0,0.4137931034482758,0.5853658536585366,0.7200740055504162,0.043740622001064,PSD por banda y canal
Random Forest,0.9655172413793104,0.9988109393579072,0.935483870967742,1.0,0.9666666666666668,0.9699352451433858,0.0171175334042114,PSD por banda y canal
Regresión Logística,0.9482758620689656,0.990487514863258,0.9333333333333332,0.9655172413793104,0.9491525423728814,0.978445883441258,0.0137509004078164,PSD por banda y canal
KNN,0.913793103448276,0.98692033293698,0.875,0.9655172413793104,0.918032786885246,0.909528214616096,0.0159009712662734,PSD por banda y canal
SVM (Lineal),0.9827586206896551,0.990487514863258,1.0,0.9655172413793104,0.9824561403508771,0.9872340425531915,0.017021276595744667,PSD por banda y canal
SVM (RBF),0.7068965517241379,0.976218787158145,1.0,0.41379310344827586,0.5853658536585366,0.7200740055504162,0.043740622001064086,PSD por banda y canal
Random Forest,0.9655172413793104,0.9988109393579072,0.9354838709677419,1.0,0.9666666666666667,0.9699352451433858,0.017117533404211457,PSD por banda y canal
Regresión Logística,0.9482758620689655,0.990487514863258,0.9333333333333333,0.9655172413793104,0.9491525423728814,0.978445883441258,0.013750900407816492,PSD por banda y canal
KNN,0.9137931034482759,0.9869203329369799,0.875,0.9655172413793104,0.9180327868852459,0.9095282146160961,0.015900971266273406,PSD por banda y canal
